date,event_type,attendees,food_prepared,food_consumed,wasted_food
2024-01-01,Birthday Party,40,35.36,30.12,5.24
2024-01-02,Birthday Party,36,42.53,31.55,10.98
2024-01-03,Festival,277,273.41,194.94,78.47
2024-01-04,Corporate Event,164,156.33,110.0,46.33
2024-01-05,Festival,816,969.73,752.85,216.89
2024-01-06,Wedding,412,336.96,309.97,27.0
2024-01-07,Small Gathering,21,17.9,12.55,5.35
2024-01-08,Corporate Event,78,84.62,64.82,19.79
2024-01-09,Small Gathering,13,11.22,8.58,2.64
2024-01-10,Wedding,274,313.34,230.71,82.62
2024-01-11,Festival,555,459.86,381.72,78.13
2024-01-12,Corporate Event,88,88.49,82.57,5.92
2024-01-13,Festival,693,601.16,568.7,32.46
2024-01-14,Festival,347,343.98,263.5,80.48
2024-01-15,Corporate Event,127,113.87,96.1,17.77
2024-01-16,Small Gathering,21,16.93,15.88,1.05
2024-01-17,Festival,470,413.19,376.14,37.05
2024-01-18,Birthday Party,26,26.21,24.84,1.37
2024-01-19,Birthday Party,83,69.65,63.37,6.29
2024-01-20,Corporate Event,191,217.69,194.52,23.17
2024-01-21,Birthday Party,60,56.0,43.4,12.61
2024-01-22,Birthday Party,79,85.48,80.35,5.14
2024-01-23,Corporate Event,97,83.22,64.57,18.65
2024-01-24,Corporate Event,172,192.17,137.2,54.96
2024-01-25,Wedding,402,389.7,296.93,92.77
2024-01-26,Wedding,348,324.51,298.56,25.96
2024-01-27,Festival,494,397.06,358.25,38.81
2024-01-28,Wedding,312,292.23,230.11,62.11
2024-01-29,Festival,755,706.29,670.71,35.57
2024-01-30,Wedding,394,424.91,387.01,37.9
2024-01-31,Small Gathering,33,35.94,29.54,6.4
2024-02-01,Festival,360,312.88,290.52,22.37
2024-02-02,Corporate Event,179,168.52,156.18,12.34
2024-02-03,Birthday Party,35,39.18,28.27,10.91
2024-02-04,Birthday Party,32,30.64,28.89,1.75
2024-02-05,Wedding,257,225.33,165.13,60.2
2024-02-06,Festival,212,170.4,128.66,41.74
