date,event_type,attendees,food_prepared,food_consumed,wasted_food
2024-01-01,Wedding,250,207.6,162.31,45.28
2024-01-02,Corporate Event,84,71.31,55.65,15.66
2024-01-03,Wedding,417,430.68,379.72,50.96
2024-01-04,Birthday Party,34,36.14,28.12,8.02
2024-01-05,Festival,971,811.37,625.88,185.48
2024-01-06,Wedding,101,94.86,69.77,25.09
2024-01-07,Small Gathering,48,54.61,50.78,3.83
2024-01-08,Small Gathering,32,29.3,26.57,2.73
2024-01-09,Wedding,495,447.9,350.03,97.87
2024-01-10,Corporate Event,183,148.37,125.29,23.08
2024-01-11,Corporate Event,117,104.09,94.77,9.32
2024-01-12,Small Gathering,25,24.42,20.34,4.08
2024-01-13,Birthday Party,94,80.26,60.62,19.64
2024-01-14,Small Gathering,29,29.74,22.99,6.76
2024-01-15,Small Gathering,14,13.7,10.98,2.72
2024-01-16,Birthday Party,34,27.94,21.4,6.54
2024-01-17,Small Gathering,10,11.11,9.88,1.23
2024-01-18,Festival,832,739.82,591.97,147.84
2024-01-19,Birthday Party,55,61.07,47.77,13.3
2024-01-20,Small Gathering,36,33.0,30.64,2.37
2024-01-21,Festival,595,709.51,660.75,48.76
2024-01-22,Corporate Event,79,94.08,69.22,24.86
2024-01-23,Wedding,132,124.88,94.48,30.4
2024-01-24,Birthday Party,21,22.73,16.32,6.41
2024-01-25,Wedding,303,301.0,245.31,55.68
2024-01-26,Birthday Party,41,44.55,37.82,6.73
2024-01-27,Corporate Event,110,129.29,93.84,35.45
2024-01-28,Festival,956,768.82,652.85,115.97
2024-01-29,Birthday Party,70,68.66,52.47,16.2
2024-01-30,Festival,923,1034.01,856.15,177.86
2024-01-31,Small Gathering,12,11.52,10.08,1.45
2024-02-01,Wedding,159,179.37,137.58,41.79
2024-02-02,Small Gathering,35,33.78,30.72,3.06
2024-02-03,Birthday Party,22,21.5,17.23,4.27
2024-02-04,Birthday Party,91,105.25,92.02,13.23
2024-02-05,Festival,537,577.61,414.48,163.13
2024-02-06,Birthday Party,50,46.58,38.61,7.98
2024-02-07,Small Gathering,50,57.69,48.43,9.26
2024-02-08,Festival,496,434.49,336.78,97.71
2024-02-09,Birthday Party,29,32.64,23.08,9.56
2024-02-10,Festival,738,726.58,583.87,142.71
2024-02-11,Corporate Event,192,173.63,142.99,30.65
2024-02-12,Corporate Event,182,201.8,153.72,48.08
2024-02-13,Wedding,483,479.54,452.75,26.79
2024-02-14,Wedding,492,423.02,320.28,102.75
2024-02-15,Birthday Party,37,31.45,23.12,8.33
2024-02-16,Birthday Party,42,41.03,35.1,5.93
2024-02-17,Wedding,297,249.48,195.19,54.28
2024-02-18,Festival,904,754.14,556.16,197.98
2024-02-19,Small Gathering,25,23.12,21.74,1.38
2024-02-20,Wedding,412,427.11,387.96,39.15
2024-02-21,Wedding,170,155.77,146.33,9.43
2024-02-22,Birthday Party,26,23.13,19.4,3.73
2024-02-23,Small Gathering,11,12.14,9.58,2.55
2024-02-24,Festival,427,387.22,336.87,50.35
